코드_ID,대분류코드,중분류코드,코드명,코드설명,사용여부,등록일,수정일
975001,975,1,완전자립,거동에 불편이 없이 혼자 움직일수 있는 정도,Y,2017-02-02,2017-02-02
975002,975,2,부분도움,거동에 약간의 불편이 있어서 부분적인 도움이 필요한 경우,Y,2017-02-02,2017-02-02
975003,975,3,완전도움,거동에 불편함이 있어서 다른 사람의 도움이 없이는 움직일수 없는 경우,Y,2017-02-02,2017-02-02
976000,976,0,생활환경,노노케어대상자의 생활환경정보를 관리한다,Y,2017-02-02,2017-02-02
976001,976,1,양호,대상자의 생활환경이 양호한 편인 경우,Y,2017-02-02,2017-02-02
976002,976,2,보통,대상자의 생활환경이 보통인 경우,Y,2017-02-02,2017-02-02
976003,976,3,미흡,대상장의 생활환경이 미흡한 경우,Y,2017-02-02,2017-02-02
977000,977,0,평가자동산출호출유형,평가자동산출호출유형을 관리한다.,Y,2017-02-08,2017-02-08
977001,977,1,프로시져,프로시져,Y,2017-02-08,2017-02-08
977002,977,2,함수,함수,N,2017-02-08,2017-03-20
977003,977,3,소스,소스,N,2017-03-23,2018-03-29
81001,81,1,임시저장,,Y,2017-11-17,2017-11-17
81002,81,2,참여완료,,Y,2017-11-17,2017-11-17
136000,136,0,심사유형코드,사전심사관리에서 이용하는 심사상태코드,Y,2017-11-24,2017-11-24
100000,100,0,게시물답변상태코드,게시물의 게시물답변상태코드를 정의합니다.,Y,2017-04-09,2017-04-09
100001,100,1,답변대기,,Y,2017-04-09,2017-04-09
100002,100,2,답변완료,,Y,2017-04-09,2017-04-09
100003,100,3,반영예정,,Y,2017-04-09,2017-04-09
100004,100,4,반영완료,,Y,2017-04-09,2017-04-09
96021,96,21,42,,Y,2017-04-11,2017-04-11
99000,99,0,통지방법코드,게시물의 답변 통지방법코드를 정의합니다.,Y,2017-04-09,2017-04-09
99001,99,1,SMS(답변진행상태),,Y,2017-04-09,2017-04-09
99002,99,2,EMAIL(답변결과),,Y,2017-04-09,2017-04-09
99003,99,1,미통보(답변미수신),,Y,2017-04-09,2017-04-09
81000,81,0,답변상태코드,설문의 답변상태코드를 관리한다.,Y,2017-11-17,2017-11-17
136001,136,1,등록,,Y,2017-11-24,2017-11-24
136002,136,2,승인,,Y,2017-11-24,2017-11-24
136003,136,3,조건부승인,,Y,2017-11-24,2017-11-24
136004,136,4,반려,,Y,2017-11-24,2017-11-24
114000,114,0,환수상태유형코드,환수상태유형코드를 관리한다.,Y,2017-12-12,2017-12-12
114001,114,1,미환수,,Y,2017-12-12,2017-12-12
114002,114,2,환수예정,,Y,2017-12-12,2017-12-12
114003,114,3,환수완료,,Y,2017-12-12,2017-12-12
209002,209,2,시간활용,,Y,2017-03-27,2017-03-27
209003,209,3,자기발전,,Y,2017-03-27,2017-03-27
209004,209,4,건강증진,,Y,2017-03-27,2017-03-27
209005,209,5,자원봉사,,Y,2017-03-27,2017-03-27
209009,209,9,기타,,Y,2017-03-27,2017-03-27
210000,210,0,희망근무형태,참여자의 희망근무형태를 관리한다.,Y,2017-03-27,2017-03-27
210001,210,1,관계없음,,Y,2017-03-27,2017-03-27
210002,210,2,시간제,,Y,2017-03-27,2017-03-27
210003,210,3,종일제,,Y,2017-03-27,2017-03-27
210004,210,4,격일제,,Y,2017-03-27,2017-03-27
211000,211,0,희망근무일수,참여자의 희망근무일수를 관리한다.,Y,2017-03-27,2017-03-27
211001,211,1,주5일,,Y,2017-03-27,2017-03-27
211002,211,2,주3~5일,,Y,2017-03-27,2017-03-27
211003,211,3,주3일미만,,Y,2017-03-27,2017-03-27
212000,212,0,직업분류,경력의 직업분류를 관리한다.,N,2017-03-27,2017-03-27
212001,212,1,관리자,,Y,2017-03-27,2017-03-27
212002,212,2,전문가및관련 종사자,,Y,2017-03-27,2017-03-27
212003,212,3,사무 종사자,,Y,2017-03-27,2017-03-27
212004,212,4,서비스 종사자,,Y,2017-03-27,2017-03-27
212005,212,5,판매 종사자,,Y,2017-03-27,2017-03-27
212006,212,6,농림어업 숙련 종사자,,Y,2017-03-27,2017-03-27
212007,212,7,기능원 및 관련 기능 종사자,,Y,2017-03-27,2017-03-27
212008,212,8,"장치,기계조작 및 조립 종사자",,Y,2017-03-27,2017-03-27
212009,212,9,단순노무 종사자,,Y,2017-03-27,2017-03-27
213000,213,0,고용형태,경력의 고용형태를 관리한다.,Y,2017-03-27,2017-03-27
213001,213,1,상용직,,Y,2017-03-27,2017-03-27
213002,213,2,파견근로,,Y,2017-03-27,2017-03-27
213003,213,3,계약직,,Y,2017-03-27,2017-03-27
214000,214,0,자격/면허,자격증 및 면허증을 관리한다,Y,2017-03-27,2017-03-27
214001,214,1,"자동차,운전","버스, 택시, 면허, 차량",Y,2017-03-27,2017-03-27
214002,214,2,"교육,교사","초등학교, 중학교, 강사, 학원, 유치원, 어린이집, 선생",Y,2017-03-27,2017-03-27
214003,214,3,중장비,"중장비, 정비, 수리",Y,2017-03-27,2017-03-27
10000,10,0,기관유형,기관유형을 관리한다.,Y,2017-03-27,2017-03-27
10001,10,1,지자체,,Y,2017-03-27,2017-03-27
10002,10,2,시니어클럽,,Y,2017-03-27,2017-03-27
10003,10,3,대한노인회,,Y,2017-03-27,2017-03-27
10004,10,4,노인복지관,,Y,2017-03-27,2017-03-27
10005,10,5,종합사회복지관,,Y,2017-03-27,2017-03-27
10006,10,6,노인복지센터,,Y,2017-03-27,2017-03-27
10007,10,7,지역문화원,,Y,2017-03-27,2017-03-27
10008,10,8,박람회사무국,,Y,2017-03-27,2017-03-27
10009,10,9,기타,,Y,2017-03-27,2017-03-27
20000,20,0,사용자유형,사용자유형을 관리한다.,Y,2017-03-27,2017-03-27
20001,20,1,시도,08~22,Y,2017-03-27,2019-01-08
20002,20,2,시군구,08~22,Y,2017-03-27,2019-01-08
20003,20,3,읍면동,08~22,Y,2017-03-27,2019-01-08
20004,20,4,수행기관,08~22,Y,2017-03-27,2019-01-08
20005,20,5,개발원,08~22,Y,2017-03-27,2019-01-08
30000,30,0,사용자상태,사용자의 상태값을 관리한다.,Y,2017-03-27,2017-03-27
30001,30,1,사용신청,,Y,2017-03-27,2017-03-27
30002,30,2,승인,,Y,2017-03-27,2017-03-27
30003,30,3,사용불가,사용불가인 경우 사용여부를 미사용으로 한다.,Y,2017-03-27,2017-03-27
40000,40,0,사용자역할,사용자의 역할을 관리한다.,Y,2017-03-27,2017-03-27
40001,40,1,관리자,,Y,2017-03-27,2017-03-27
40002,40,2,실무자,,Y,2017-03-27,2017-03-27
40003,40,3,전담인력,,Y,2017-03-27,2017-03-27
50000,50,0,중복사유,사업자번호 등록 시 중복사유를 관리한다.,Y,2017-03-27,2017-03-27
50001,50,1,부사업장,,Y,2017-03-27,2017-03-27
50002,50,2,업무관리,,Y,2017-03-27,2017-03-27
60000,60,0,은행정보,은행정보를 관리한다.,Y,2017-03-27,2017-03-27
60002,60,2,산업,산업,Y,2017-03-27,2017-03-27
60003,60,3,기업,기업,Y,2017-03-27,2017-03-27
60004,60,4,국민,국민,Y,2017-03-27,2017-03-27
60005,60,5,외환(X),외환,Y,2017-03-27,2017-03-27
60007,60,7,수협,수협,Y,2017-03-27,2017-03-27
60011,60,11,(중앙)농협,농협,Y,2017-03-27,2017-03-27
60012,60,12,지역농협,농협,Y,2017-03-27,2017-03-27
60020,60,20,우리,우리,Y,2017-03-27,2017-03-27
60023,60,23,SC제일,제일,Y,2017-03-27,2017-03-27
60027,60,27,씨티,씨티,Y,2017-03-27,2017-03-27
60031,60,31,대구,대구,Y,2017-03-27,2017-03-27
60032,60,32,부산,부산,Y,2017-03-27,2017-03-27
60034,60,34,광주,광주,Y,2017-03-27,2017-03-27
60035,60,35,제주,제주,Y,2017-03-27,2017-03-27
60037,60,37,전북,전북,Y,2017-03-27,2017-03-27
60039,60,39,경남,경남,Y,2017-03-27,2017-03-27
60045,60,45,새마을금고,새마을,Y,2017-03-27,2017-03-27
60048,60,48,신용협동조합,신협,Y,2017-03-27,2017-03-27
60050,60,50,상호저축은행,저축,Y,2017-03-27,2017-03-27
60054,60,54,HSBC,HSBC,Y,2017-03-27,2017-03-27
60055,60,55,도이치,도이치,Y,2017-03-27,2017-03-27
60071,60,71,우체국,우체국,Y,2017-03-27,2017-03-27
60081,60,81,KEB하나(구외환),하나,Y,2017-03-27,2017-03-27
60088,60,88,신한,신한,Y,2017-03-27,2017-03-27
101000,101,0,예산구분,예산구분을 관리한다.,Y,2017-03-27,2017-03-27
101001,101,1,국비지원,,Y,2017-03-27,2017-03-27
101002,101,2,시도자체,,Y,2017-03-27,2017-03-27
101003,101,3,시군구자체,,Y,2017-03-27,2017-03-27
102000,102,0,사업계획서상태,사업계획서의 상태를 관리.,Y,2017-03-27,2017-03-27
102AR,102,AR,심사요청,Assess Request,Y,2017-03-27,2017-03-27
102CR,102,CR,변경심사요청,Change Assess Request,Y,2017-03-27,2017-03-27
102DR,102,DR,삭제요청,Delete Request,Y,2017-03-27,2017-03-27
102PC,102,PC,승인완료,apProval Complete,Y,2017-03-27,2017-03-27
102RJ,102,RJ,반려,ReJect,Y,2017-03-27,2017-03-27
102AA,102,AA,임시,Just Temporary,Y,2017-03-27,2017-03-27
103000,103,0,심사상태,심사상태를 관리한다.,Y,2017-03-27,2017-03-27
103AB,103,AB,심사대기,Assess standBy,Y,2017-03-27,2017-03-27
103AP,103,AP,심사중,Assess Progress.,Y,2017-03-27,2017-03-27
103CA,103,CA,조건부 승인,Conditional Approval,Y,2017-03-27,2017-03-27
103MA,103,MA,수정승인,Modify Approval,N,2017-03-27,2017-03-27
103PV,103,PV,승인,aPproval.,Y,2017-03-27,2017-03-27
103RJ,103,RJ,반려,Reject (Return),Y,2017-03-27,2017-03-27
131000,131,0,사업유형,사업유형의 그룹을 관리한다.,Y,2017-03-27,2017-03-27
131001,131,1,공익활동형,지역형에서 2017년 공익활동형으로 수정,Y,2017-03-27,2017-03-27
131002,131,2,취업창업형(인력파견형),,N,2017-03-27,2017-03-27
131003,131,3,시장형,,Y,2017-03-27,2017-03-27
131004,131,4,창업모델형,,N,2017-03-27,2017-03-27
131011,131,11,경진대회,,N,2017-03-27,2017-03-27
131012,131,12,시니어클럽인센티브,,N,2017-03-27,2017-03-27
201000,201,0,참여상태,참여자의 참여상태를 관리한다.,Y,2017-03-27,2017-03-27
201001,201,1,등록,,Y,2017-03-27,2017-03-27
201002,201,2,대기,,Y,2017-03-27,2017-03-27
201003,201,3,참여,,Y,2017-03-27,2017-03-27
201004,201,4,참여완료,,Y,2017-03-27,2017-03-27
201005,201,5,중도포기,,Y,2017-03-27,2017-03-27
201006,201,6,온라인신청,,Y,2017-03-27,2017-03-27
201007,201,7,온라인신청반려,,Y,2017-03-27,2017-03-27
201008,201,8,탈락,,Y,2017-03-27,2017-03-27
201009,201,9,자원봉사,,Y,2017-03-27,2017-03-27
201010,201,10,사업완료,,Y,2017-03-27,2017-03-27
202000,202,0,구직진행상태,참여자의 구직진행상태를 관리한다.,Y,2017-03-27,2017-03-27
202001,202,1,가등록,,Y,2017-03-27,2017-03-27
202002,202,2,구직중,,Y,2017-03-27,2017-03-27
202003,202,3,알선중,,N,2017-03-27,2017-03-27
202004,202,4,취업,,N,2017-03-27,2017-03-27
203000,203,0,건강상태,참여자의 건강참여상태를 관리한다.,Y,2017-03-27,2017-03-27
203001,203,1,매우좋음,,Y,2017-03-27,2017-03-27
203002,203,2,좋은편,,Y,2017-03-27,2017-03-27
203003,203,3,보통,,Y,2017-03-27,2017-03-27
203004,203,4,나쁜편,,Y,2017-03-27,2017-03-27
203005,203,5,매우나쁨,,Y,2017-03-27,2017-03-27
204000,204,0,경제상태,참여자의 경제상태를 관리한다.,Y,2017-03-27,2017-03-27
204001,204,1,상,,Y,2017-03-27,2017-03-27
214004,214,4,의료,"의사, 간호사, 간호원, 약사",Y,2017-03-27,2017-03-27
214005,214,5,정보처리,"컴퓨터, 전산, 프로그래머, 소프트웨어, 웹, 인터넷",Y,2017-03-27,2017-03-27
214006,214,6,기계,"기기, 장치, 기구, 선반, 정비, 수리",Y,2017-03-27,2017-03-27
214007,214,7,냉동,"냉동, 냉장, 정비, 수리",Y,2017-03-27,2017-03-27
214008,214,8,보일러,"보일러, 정비, 수리",Y,2017-03-27,2017-03-27
214009,214,9,"철도,기관사","철도, 기관사, 기차, 전철",Y,2017-03-27,2017-03-27
214010,214,10,자동차,"자동차, 카, 정비, 수리",Y,2017-03-27,2017-03-27
214011,214,11,건설,"건축, 주택, 미장",Y,2017-03-27,2017-03-27
214012,214,12,"용접,배관","용접, 배관",Y,2017-03-27,2017-03-27
214013,214,13,"금형,사출,도금","금형, 사출, 도금, 주형, 주물",Y,2017-03-27,2017-03-27
214014,214,14,금속,"금속, 제련",Y,2017-03-27,2017-03-27
214015,214,15,위험물,"위험물, 안전, 정비, 수리",Y,2017-03-27,2017-03-27
214016,214,16,"화공,세라믹","화공, 화학, 세라믹, 요업",Y,2017-03-27,2017-03-27
208060,208,60,대학원이상,,Y,2017-03-27,2017-03-27
213004,213,4,시간제,,Y,2017-03-27,2017-03-27
331000,331,0,수혜서비스1,,Y,2017-03-27,2017-03-27
332000,332,0,수혜서비스2,,Y,2017-03-27,2017-03-27
333000,333,0,수혜서비스3,,Y,2017-03-27,2017-03-27
209099,209,99,알수없음,,Y,2017-03-27,2017-03-27
105006,105,6,묘지실태조사사업,,N,2017-03-27,2017-03-27
241000,241,0,탈락사유,참여자의 탈락사유를 관리한다.,Y,2017-03-27,2017-03-27
241001,241,1,연령제한,,Y,2017-03-27,2017-03-27
241002,241,2,지역제한,,Y,2017-03-27,2017-03-27
301002,301,2,공익-안전교육/사회-소양(안전)교육/시장-소양교육,,Y,2017-03-27,2019-05-08
301003,301,3,기타(외부교육등),,Y,2017-03-27,2017-12-28
490000,490,0,평가진행단계,,Y,2017-03-27,2017-03-27
4901,490,1,미진행,,Y,2017-03-27,2017-03-27
330001,330,1,기초생활보장대상자,,Y,2017-03-27,2017-03-27
205099,205,99,알수없음,,Y,2017-03-27,2017-03-27
206099,206,99,알수없음,,Y,2017-03-27,2017-03-27
204099,204,99,알수없음,,Y,2017-03-27,2017-03-27
104R,104,R,재심의,사업계획서 재심의,Y,2017-03-27,2017-03-27
390000,390,0,수정제한여부,,Y,2017-03-27,2017-03-27
3901,390,1,수정가능,,Y,2017-03-27,2017-03-27
3902,390,2,수정제한,,Y,2017-03-27,2017-03-27
3903,390,3,수정제한취소요청,,Y,2017-03-27,2017-03-27
4902,490,2,기관자기평가완료,,Y,2017-03-27,2017-03-27
4903,490,3,시군구확인평가완료,,Y,2017-03-27,2017-03-27
241003,241,3,기초생활수급대상자,,Y,2017-03-27,2017-03-27
241004,241,4,건강보험직장가입자,,Y,2017-03-27,2017-03-27
241005,241,5,타부처일자리참여자,,Y,2017-03-27,2017-03-27
241006,241,6,건강사유,,Y,2017-03-27,2017-03-27
410000,410,0,동료관계,,Y,2017-03-27,2017-03-27
410001,410,1,매우만족,,Y,2017-03-27,2017-03-27
410002,410,2,만족,,Y,2017-03-27,2017-03-27
410003,410,3,보통,,Y,2017-03-27,2017-03-27
410004,410,4,불만족,,Y,2017-03-27,2017-03-27
410005,410,5,매우불만족,,Y,2017-03-27,2017-03-27
411000,411,0,고용주관계,,Y,2017-03-27,2017-03-27
411001,411,1,매우좋음,,Y,2017-03-27,2017-03-27
411002,411,2,좋음,,Y,2017-03-27,2017-03-27
411003,411,3,보통,,Y,2017-03-27,2017-03-27
411004,411,4,좋지않음,,Y,2017-03-27,2017-03-27
411005,411,5,매우좋지않음,,Y,2017-03-27,2017-03-27
413000,413,0,업무만족도,,Y,2017-03-27,2017-03-27
413001,413,1,매우만족,,Y,2017-03-27,2017-03-27
413002,413,2,만족,,Y,2017-03-27,2017-03-27
413003,413,3,보통,,Y,2017-03-27,2017-03-27
413004,413,4,불만족,,Y,2017-03-27,2017-03-27
413005,413,5,매우불만족,,Y,2017-03-27,2017-03-27
414000,414,0,업무량,,Y,2017-03-27,2017-03-27
414001,414,1,매우많음,,Y,2017-03-27,2017-03-27
414002,414,2,많음,,Y,2017-03-27,2017-03-27
414003,414,3,보통,,Y,2017-03-27,2017-03-27
414004,414,4,부족,,Y,2017-03-27,2017-03-27
414005,414,5,매우부족,,Y,2017-03-27,2017-03-27
416000,416,0,전직의향,,Y,2017-03-27,2017-03-27
416001,416,1,매우높음,,Y,2017-03-27,2017-03-27
416002,416,2,높음,,Y,2017-03-27,2017-03-27
416003,416,3,보통,,Y,2017-03-27,2017-03-27
416004,416,4,낮음,,Y,2017-03-27,2017-03-27
416005,416,5,매우낮음,,Y,2017-03-27,2017-03-27
420000,420,0,자격요건,,Y,2017-03-27,2017-03-27
420001,420,1,신입,,Y,2017-03-27,2017-03-27
420002,420,2,경력,,Y,2017-03-27,2017-03-27
420003,420,3,관계없음,,Y,2017-03-27,2017-03-27
421000,421,0,임금형태,,Y,2017-03-27,2017-03-27
421001,421,1,월급,,Y,2017-03-27,2017-03-27
421002,421,2,연봉,,Y,2017-03-27,2017-03-27
421003,421,3,일급,,Y,2017-03-27,2017-03-27
421004,421,4,시급,,Y,2017-03-27,2017-03-27
423000,423,0,진행형태,,Y,2017-03-27,2017-03-27
423001,423,1,구인중,,Y,2017-03-27,2017-03-27
423002,423,2,구인종료,,Y,2017-03-27,2017-03-27
430000,430,0,알선상태,,Y,2017-03-27,2017-03-27
430001,430,1,알선중,,Y,2017-03-27,2017-03-27
430002,430,2,채용확정,,Y,2017-03-27,2017-03-27
430003,430,3,알선거부,,Y,2017-03-27,2017-03-27
209006,209,6,사회참여,,Y,2017-03-27,2017-03-27
311000,311,0,근무조,참여자의 근무조를 관리한다.,Y,2017-03-27,2017-03-27
311001,311,1,1조,,Y,2017-03-27,2017-03-27
311002,311,2,2조,,Y,2017-03-27,2017-03-27
311003,311,3,3조,,Y,2017-03-27,2017-03-27
202005,202,5,구직종료,,Y,2017-03-27,2017-03-27
331001,331,1,노인돌봄서비스,,Y,2017-03-27,2017-03-27
331002,331,2,장기요양보호서비스,,Y,2017-03-27,2017-03-27
331003,331,3,일반재가복지서비스,,Y,2017-03-27,2017-03-27
330002,330,2,차상위대상자,,Y,2017-03-27,2017-03-27
330003,330,3,일반,,Y,2017-03-27,2017-03-27
330000,330,0,보호구분,돌봄서비스의 보호구분을 관리한다.,Y,2017-03-27,2017-03-27
241007,241,7,소양부족,,Y,2017-03-27,2017-03-27
405000,405,0,근무교대,,Y,2017-03-27,2017-03-27
405001,405,1,교대없음,,Y,2017-03-27,2017-03-27
405002,405,2,2교대,,Y,2017-03-27,2017-03-27
405003,405,3,3교대,,Y,2017-03-27,2017-03-27
241008,241,8,전문성부족,,Y,2017-03-27,2017-03-27
432000,432,0,요청처리상태,,Y,2017-03-27,2017-03-27
432001,432,1,허가,,Y,2017-03-27,2017-03-27
432002,432,2,거부,,Y,2017-03-27,2017-03-27
432003,432,3,미처리,,Y,2017-03-27,2017-03-27
432004,432,4,요청취소,,Y,2017-03-27,2017-03-27
222000,222,0,학력,구인에 학력에서 사용,Y,2017-03-27,2017-03-27
222099,222,99,관계없음,,Y,2017-03-27,2017-03-27
222001,222,1,무학,,Y,2017-03-27,2017-03-27
222010,222,10,초졸,,Y,2017-03-27,2017-03-27
222020,222,20,중졸,,Y,2017-03-27,2017-03-27
222030,222,30,고졸,,Y,2017-03-27,2017-03-27
222040,222,40,전문대졸,,Y,2017-03-27,2017-03-27
222050,222,50,대졸,,Y,2017-03-27,2017-03-27
222060,222,60,대학원이상,,Y,2017-03-27,2017-03-27
433000,433,0,알선중단사유,,Y,2017-03-27,2017-03-27
433001,433,1,다른 알선을 통한 채용,,Y,2017-03-27,2017-03-27
433002,433,2,본인포기,,Y,2017-03-27,2017-03-27
433003,433,3,알선부적합,,Y,2017-03-27,2017-03-27
433004,433,4,타기관 알선요청 거부,,Y,2017-03-27,2017-03-27
433005,433,5,기타,,Y,2017-03-27,2017-03-27
215000,215,0,도메인주소,도메인주소관리,Y,2017-03-27,2017-03-27
215001,215,1,직접입력,,Y,2017-03-27,2017-03-27
215002,215,2,naver.com,,Y,2017-03-27,2017-03-27
215003,215,3,nate.com,,Y,2017-03-27,2017-03-27
215004,215,4,hanmail.net,,Y,2017-03-27,2017-03-27
215005,215,5,hotmail.com,,Y,2017-03-27,2017-03-27
215006,215,6,korea.com,,Y,2017-03-27,2017-03-27
215009,215,9,paran.com,,Y,2017-03-27,2017-03-27
416099,416,99,선택안함,,Y,2017-03-27,2017-03-27
411099,411,99,선택안함,,Y,2017-03-27,2017-03-27
414099,414,99,선택안함,,Y,2017-03-27,2017-03-27
901000,901,0,자원봉사_사업분야,[자원봉사]사업분야,Y,2017-03-27,2017-03-27
90101,901,1,교육.상담,,Y,2017-03-27,2017-03-27
90102,901,2,금융.경제,,Y,2017-03-27,2017-03-27
90103,901,3,문화.예술,,Y,2017-03-27,2017-03-27
90104,901,4,보건.의료,,Y,2017-03-27,2017-03-27
90105,901,5,법률,,Y,2017-03-27,2017-03-27
90106,901,6,언론,,Y,2017-03-27,2017-03-27
90107,901,7,기술.기능,,Y,2017-03-27,2017-03-27
920AA,920,AA,임시,임시저장상태 입니다.,Y,2017-03-27,2017-03-27
920AR,920,AR,심사요청,Asse Request,Y,2017-03-27,2017-03-27
920FA,920,FA,1차승인,First Approve,Y,2017-03-27,2017-03-27
920PC,920,PC,최종승인,aPprove Complete,Y,2017-03-27,2017-03-27
920RJ,920,RJ,탈락,Reject,Y,2017-03-27,2017-03-27
920CR,920,CR,변경심사,Change Request,Y,2017-03-27,2017-03-27
920CC,920,CC,변경승인,Change Complete,Y,2017-03-27,2017-03-27
920CD,920,CD,변경반려,Change Deny,Y,2017-03-27,2017-03-27
92101,921,1,추경예산배정,,Y,2017-03-27,2017-03-27
92102,921,2,사업간 조정,,Y,2017-03-27,2017-03-27
92103,921,3,수행부진,,Y,2017-03-27,2017-03-27
92104,921,4,입력오류 수정,,Y,2017-03-27,2017-03-27
92105,921,5,기타,,Y,2017-03-27,2017-03-27
205004,205,4,가족(경제력유)동거,,Y,2017-03-27,2017-03-27
205005,205,5,가족(경제력무)동거,,Y,2017-03-27,2017-03-27
530000,530,0,모니터링사업_활동상태,[모니터링]활동상태,Y,2017-03-27,2017-03-27
530P,530,P,방문계획,모니터링 방문계획 상태,Y,2017-03-27,2017-03-27
530W,530,W,작성중,활동일지 작성중,Y,2017-03-27,2017-03-27
530C,530,C,작성완료,활동일지 작성완료,Y,2017-03-27,2017-03-27
850000,850,0,직능시니어 참여상태,[직능시니어클럽]참여상태,Y,2017-03-27,2017-03-27
850001,850,1,대기,대기,Y,2017-03-27,2017-03-27
850002,850,2,참여,참여,Y,2017-03-27,2017-03-27
501000,501,0,통계종류,,Y,2017-03-27,2017-03-27
501001,501,1,시도전담인력,,Y,2017-03-27,2017-03-27
501002,501,2,시군구전담인력,,Y,2017-03-27,2017-03-27
501003,501,3,경진대회,,Y,2017-03-27,2017-03-27
501004,501,4,시니어클럽인센티브,,Y,2017-03-27,2017-03-27
215007,215,7,yahoo.co.kr,,Y,2017-03-27,2017-03-27
440000,440,0,구직종료사유,,Y,2017-03-27,2017-03-27
440001,440,1,구직포기,,Y,2017-03-27,2017-03-27
440002,440,2,스스로취업,,Y,2017-03-27,2017-03-27
440003,440,3,동일기관 타알선채용,,Y,2017-03-27,2017-03-27
440004,440,4,타기관채용,,Y,2017-03-27,2017-03-27
412000,412,0,직무만족도,,Y,2017-03-27,2017-03-27
412001,412,1,매우만족,,Y,2017-03-27,2017-03-27
412002,412,2,만족,,Y,2017-03-27,2017-03-27
412003,412,3,보통,,Y,2017-03-27,2017-03-27
412004,412,4,불만족,,Y,2017-03-27,2017-03-27
412005,412,5,매우불만족,,Y,2017-03-27,2017-03-27
415000,415,0,보수만족도,,Y,2017-03-27,2017-03-27
415001,415,1,매우만족,,Y,2017-03-27,2017-03-27
415002,415,2,만족,,Y,2017-03-27,2017-03-27
415003,415,3,보통,,Y,2017-03-27,2017-03-27
415004,415,4,불만족,,Y,2017-03-27,2017-03-27
415005,415,5,매우불만족,,Y,2017-03-27,2017-03-27
431000,431,0,퇴사사유,,Y,2017-03-27,2017-03-27
431001,431,1,개인사정,,Y,2017-03-27,2017-03-27
332001,332,1,노인돌봄서비스,,Y,2017-03-27,2017-03-27
333001,333,1,노인돌봄서비스,,Y,2017-03-27,2017-03-27
332002,332,2,장기요양보호서비스,,Y,2017-03-27,2017-03-27
332003,332,3,일반재가복지서비스,,Y,2017-03-27,2017-03-27
105007,105,7,개발원연계사업,,N,2017-03-27,2017-03-27
335000,335,0,서비스중단사유,돌봄서비스의 서비스중단 사유를 관리한다.,Y,2017-03-27,2017-03-27
215008,215,8,hahafos.com,,Y,2017-03-27,2017-03-27
60091,60,91,현대CMA,현대,Y,2017-03-27,2017-03-27
335001,335,1,타서비스이용,,Y,2017-03-27,2017-03-27
